Index	Name	Description	File Name	Quantity
1	Assembly		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.1	300mm 2040 Aluminum Extrusion		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	6
1.2	300mm 2020 Aluminum Extrusion		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	2
1.3	300mm Linear Rail		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	2
1.4	BK_10		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.5	BF_10		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.6	400mm Ball Screw		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.7	5x8mm Shaft Coupler		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.8	NEMA 17 Stepper		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.9	Linear Rail Carriage		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	2
1.10	Linear Rail Riser		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	2
1.11	BasePlate		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.12	Ball screw nut		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.13	Ball Screw Nut Extension		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.14	40mm Square Bracket		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	4
1.15	X Axis Stepper Brace		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
1.16	Cut014		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	4
1.17	X Linear Rail Brace		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	4
1.18	Cut012		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Lower Axis.FCStd	1
2	Assembly		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.1	BK_10		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	2
2.2	BF_10		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.3	NEMA 17 Stepper		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.4	5x8mm Shaft Coupler		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	2
2.5	Ball screw nut		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	2
2.6	Ball Screw Nut Extension		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.7	100mm Linear Rail012		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	2
2.8	Upper Carriage		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.9	Linear Rail Carriage001		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	4
2.10	150mm Ball Screw		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.11	Floating Clamp Piece		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.12	Z-axis-Linear Rail Riser007		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	2
2.13	Z-axis-Upper Carriage002		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.14	Body Clamp Piece		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
