Index	Name	Description	File Name	Quantity
1	Assembly		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.1	300mm 2040 Aluminum Extrusion		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	6
1.2	300mm 2020 Aluminum Extrusion		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	2
1.3	300mm Linear Rail		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	2
1.4	BK_10		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.5	BF_10		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.6	400mm Ball Screw		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.7	5x8mm Shaft Coupler		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.8	NEMA 17 Stepper		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.9	Linear Rail Carriage		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	2
1.10	Linear Rail Riser		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	2
1.11	BasePlate		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.12	Ball screw nut		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.13	Ball Screw Nut Extension		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	1
1.14	40mm Square Bracket		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/X-axis.FCStd	4
2	Assembly		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Y-axis.FCStd	1
2.1	300mm 2020 Aluminum Extrusion		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Y-axis.FCStd	2
2.2	300mm Linear Rail		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Y-axis.FCStd	2
2.3	Linear Rail Carriage		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Y-axis.FCStd	2
2.4	BK_10		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Y-axis.FCStd	1
2.5	BF_10		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Y-axis.FCStd	1
2.6	400mm Ball Screw		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Y-axis.FCStd	1
